subject,list,item,input,output,study,recall,repeat,intrusion,first_input,condition,prior_list,prior_input
1,0,0,1,1.0,True,True,0,False,1,3.0,,
1,0,1,2,2.0,True,True,0,False,2,3.0,,
1,0,2,3,7.0,True,True,0,False,3,3.0,,
1,0,3,4,3.0,True,True,0,False,4,3.0,,
1,0,4,5,4.0,True,True,0,False,5,3.0,,
1,0,5,6,,True,False,0,False,6,3.0,,
1,0,5,15,,True,False,0,False,15,3.0,,
1,0,4,7,,True,False,0,False,7,3.0,,
1,0,6,8,5.0,True,True,0,False,8,3.0,,
1,0,1,9,,True,False,0,False,9,3.0,,
1,0,0,10,,True,False,0,False,10,3.0,,
1,0,7,11,6.0,True,True,0,False,11,3.0,,
1,0,2,12,,True,False,0,False,12,3.0,,
1,0,3,13,,True,False,0,False,13,3.0,,
1,0,7,14,,True,False,0,False,14,3.0,,
1,0,6,16,,True,False,0,False,16,3.0,,
1,0,8,17,,True,False,0,False,17,3.0,,
1,0,8,26,,True,False,0,False,26,3.0,,
1,0,9,18,10.0,True,True,0,False,18,3.0,,
1,0,10,19,18.0,True,True,0,False,19,3.0,,
1,0,11,20,17.0,True,True,0,False,20,3.0,,
1,0,10,21,,True,False,0,False,21,3.0,,
1,0,12,22,16.0,True,True,0,False,22,3.0,,
1,0,13,23,8.0,True,True,0,False,23,3.0,,
1,0,14,24,9.0,True,True,0,False,24,3.0,,
1,0,9,25,,True,False,0,False,25,3.0,,
1,0,15,27,11.0,True,True,0,False,27,3.0,,
1,0,12,28,,True,False,0,False,28,3.0,,
1,0,11,29,,True,False,0,False,29,3.0,,
1,0,13,30,,True,False,0,False,30,3.0,,
1,0,15,31,,True,False,0,False,31,3.0,,
1,0,16,32,14.0,True,True,0,False,32,3.0,,
1,0,14,33,,True,False,0,False,33,3.0,,
1,0,17,34,12.0,True,True,0,False,34,3.0,,
1,0,18,35,15.0,True,True,0,False,35,3.0,,
1,0,19,36,13.0,True,True,0,False,36,3.0,,
1,0,16,37,,True,False,0,False,37,3.0,,
1,0,19,38,,True,False,0,False,38,3.0,,
1,0,18,39,,True,False,0,False,39,3.0,,
1,0,17,40,,True,False,0,False,40,3.0,,
1,1,0,1,2.0,True,True,0,False,1,3.0,,
1,1,1,2,3.0,True,True,0,False,2,3.0,,
1,1,2,3,4.0,True,True,0,False,3,3.0,,
1,1,0,4,,True,False,0,False,4,3.0,,
1,1,1,5,,True,False,0,False,5,3.0,,
1,1,3,6,5.0,True,True,0,False,6,3.0,,
1,1,4,7,7.0,True,True,0,False,7,3.0,,
1,1,5,8,8.0,True,True,0,False,8,3.0,,
1,1,6,9,6.0,True,True,0,False,9,3.0,,
1,1,7,10,9.0,True,True,0,False,10,3.0,,
1,1,3,11,,True,False,0,False,11,3.0,,
1,1,2,12,,True,False,0,False,12,3.0,,
1,1,4,13,,True,False,0,False,13,3.0,,
1,1,8,14,10.0,True,True,0,False,14,3.0,,
1,1,6,15,,True,False,0,False,15,3.0,,
1,1,5,16,,True,False,0,False,16,3.0,,
1,1,7,17,,True,False,0,False,17,3.0,,
1,1,9,18,14.0,True,True,0,False,18,3.0,,
1,1,8,19,,True,False,0,False,19,3.0,,
1,1,10,20,12.0,True,True,0,False,20,3.0,,
1,1,11,21,11.0,True,True,0,False,21,3.0,,
1,1,12,22,13.0,True,True,0,False,22,3.0,,
1,1,11,23,,True,False,0,False,23,3.0,,
1,1,10,24,,True,False,0,False,24,3.0,,
1,1,13,25,,True,False,0,False,25,3.0,,
1,1,13,29,,True,False,0,False,29,3.0,,
1,1,9,26,,True,False,0,False,26,3.0,,
1,1,12,27,,True,False,0,False,27,3.0,,
1,1,14,28,16.0,True,True,0,False,28,3.0,,
1,1,15,30,19.0,True,True,0,False,30,3.0,,
1,1,16,31,17.0,True,True,0,False,31,3.0,,
1,1,14,32,,True,False,0,False,32,3.0,,
1,1,15,33,,True,False,0,False,33,3.0,,
1,1,16,34,,True,False,0,False,34,3.0,,
1,1,17,35,18.0,True,True,0,False,35,3.0,,
1,1,18,36,1.0,True,True,0,False,36,3.0,,
1,1,19,37,15.0,True,True,0,False,37,3.0,,
1,1,17,38,,True,False,0,False,38,3.0,,
1,1,18,39,,True,False,0,False,39,3.0,,
1,1,19,40,,True,False,0,False,40,3.0,,
1,2,0,1,1.0,True,True,0,False,1,3.0,,
1,2,1,2,2.0,True,True,0,False,2,3.0,,
1,2,2,3,3.0,True,True,0,False,3,3.0,,
1,2,3,4,4.0,True,True,0,False,4,3.0,,
1,2,0,5,,True,False,0,False,5,3.0,,
1,2,1,6,,True,False,0,False,6,3.0,,
1,2,4,7,7.0,True,True,0,False,7,3.0,,
1,2,2,8,,True,False,0,False,8,3.0,,
1,2,5,9,8.0,True,True,0,False,9,3.0,,
1,2,6,10,5.0,True,True,0,False,10,3.0,,
1,2,4,11,,True,False,0,False,11,3.0,,
1,2,3,12,,True,False,0,False,12,3.0,,
1,2,5,13,,True,False,0,False,13,3.0,,
1,2,7,14,6.0,True,True,0,False,14,3.0,,
1,2,8,15,9.0,True,True,0,False,15,3.0,,
1,2,9,16,10.0,True,True,0,False,16,3.0,,
1,2,6,17,,True,False,0,False,17,3.0,,
1,2,10,18,11.0,True,True,0,False,18,3.0,,
1,2,7,19,,True,False,0,False,19,3.0,,
1,2,11,20,,True,False,0,False,20,3.0,,
1,2,11,26,,True,False,0,False,26,3.0,,
1,2,8,21,,True,False,0,False,21,3.0,,
1,2,9,22,,True,False,0,False,22,3.0,,
1,2,12,23,,True,False,0,False,23,3.0,,
1,2,12,28,,True,False,0,False,28,3.0,,
1,2,13,24,12.0,True,True,0,False,24,3.0,,
1,2,14,25,13.0,True,True,0,False,25,3.0,,
1,2,10,27,,True,False,0,False,27,3.0,,
1,2,15,29,,True,False,0,False,29,3.0,,
1,2,15,31,,True,False,0,False,31,3.0,,
1,2,13,30,,True,False,0,False,30,3.0,,
1,2,16,32,,True,False,0,False,32,3.0,,
1,2,16,35,,True,False,0,False,35,3.0,,
1,2,14,33,,True,False,0,False,33,3.0,,
1,2,17,34,14.0,True,True,0,False,34,3.0,,
1,2,18,36,15.0,True,True,0,False,36,3.0,,
1,2,17,37,,True,False,0,False,37,3.0,,
1,2,19,38,,True,False,0,False,38,3.0,,
1,2,19,40,,True,False,0,False,40,3.0,,
1,2,18,39,,True,False,0,False,39,3.0,,
1,3,0,1,1.0,True,True,0,False,1,3.0,,
1,3,1,2,2.0,True,True,0,False,2,3.0,,
1,3,2,3,4.0,True,True,0,False,3,3.0,,
1,3,0,4,,True,False,0,False,4,3.0,,
1,3,3,5,3.0,True,True,0,False,5,3.0,,
1,3,4,6,5.0,True,True,0,False,6,3.0,,
1,3,5,7,,True,False,0,False,7,3.0,,
1,3,5,13,,True,False,0,False,13,3.0,,
1,3,6,8,8.0,True,True,0,False,8,3.0,,
1,3,2,9,,True,False,0,False,9,3.0,,
1,3,7,10,7.0,True,True,0,False,10,3.0,,
1,3,1,11,,True,False,0,False,11,3.0,,
1,3,6,12,,True,False,0,False,12,3.0,,
1,3,3,14,,True,False,0,False,14,3.0,,
1,3,4,15,,True,False,0,False,15,3.0,,
1,3,8,16,19.0,True,True,0,False,16,3.0,,
1,3,9,17,6.0,True,True,0,False,17,3.0,,
1,3,8,18,,True,False,0,False,18,3.0,,
1,3,7,19,,True,False,0,False,19,3.0,,
1,3,10,20,9.0,True,True,0,False,20,3.0,,
1,3,11,21,13.0,True,True,0,False,21,3.0,,
1,3,12,22,12.0,True,True,0,False,22,3.0,,
1,3,13,23,10.0,True,True,0,False,23,3.0,,
1,3,12,24,,True,False,0,False,24,3.0,,
1,3,14,25,14.0,True,True,0,False,25,3.0,,
1,3,9,26,,True,False,0,False,26,3.0,,
1,3,11,27,,True,False,0,False,27,3.0,,
1,3,10,28,,True,False,0,False,28,3.0,,
1,3,15,29,11.0,True,True,0,False,29,3.0,,
1,3,14,30,,True,False,0,False,30,3.0,,
1,3,13,31,,True,False,0,False,31,3.0,,
1,3,16,32,17.0,True,True,0,False,32,3.0,,
1,3,17,33,18.0,True,True,0,False,33,3.0,,
1,3,18,34,16.0,True,True,0,False,34,3.0,,
1,3,19,35,15.0,True,True,0,False,35,3.0,,
1,3,15,36,,True,False,0,False,36,3.0,,
1,3,19,37,,True,False,0,False,37,3.0,,
1,3,18,38,,True,False,0,False,38,3.0,,
1,3,17,39,,True,False,0,False,39,3.0,,
1,3,16,40,,True,False,0,False,40,3.0,,
1,4,0,1,1.0,True,True,0,False,1,3.0,,
1,4,1,2,2.0,True,True,0,False,2,3.0,,
1,4,2,3,3.0,True,True,0,False,3,3.0,,
1,4,3,4,4.0,True,True,0,False,4,3.0,,
1,4,1,5,,True,False,0,False,5,3.0,,
1,4,4,6,5.0,True,True,0,False,6,3.0,,
1,4,2,7,,True,False,0,False,7,3.0,,
1,4,0,8,,True,False,0,False,8,3.0,,
1,4,4,9,,True,False,0,False,9,3.0,,
1,4,3,10,,True,False,0,False,10,3.0,,
1,4,5,11,6.0,True,True,0,False,11,3.0,,
1,4,6,12,7.0,True,True,0,False,12,3.0,,
1,4,7,13,17.0,True,True,0,False,13,3.0,,
1,4,8,14,8.0,True,True,0,False,14,3.0,,
1,4,9,15,,True,False,0,False,15,3.0,,
1,4,9,17,,True,False,0,False,17,3.0,,
1,4,5,16,,True,False,0,False,16,3.0,,
1,4,7,18,,True,False,0,False,18,3.0,,
1,4,10,19,,True,False,0,False,19,3.0,,
1,4,10,22,,True,False,0,False,22,3.0,,
1,4,6,20,,True,False,0,False,20,3.0,,
1,4,11,21,18.0,True,True,0,False,21,3.0,,
